s,A(s)/h (GHz),B(s)/h (GHz),C (normalized)
0.974,0.0000102,10.6559500,0.9568969
0.975,0.0000097,10.6761000,0.9585125
0.976,0.0000093,10.6962800,0.9601281
0.977,0.0000089,10.7164800,0.9617449
0.978,0.0000085,10.7366900,0.9633707
0.979,0.0000082,10.7569300,0.9650000
0.980,0.0000078,10.7771800,0.9666293
0.981,0.0000075,10.7974500,0.9682604
0.982,0.0000072,10.8177400,0.9699004
0.983,0.0000070,10.8380500,0.9715431
0.984,0.0000068,10.8583800,0.9731857
0.985,0.0000065,10.8787300,0.9748314
0.986,0.0000062,10.8991000,0.9764868
0.987,0.0000058,10.9194900,0.9781440
0.988,0.0000055,10.9398900,0.9798012
0.989,0.0000052,10.9603200,0.9814622
0.990,0.0000050,10.9807600,0.9831322
0.991,0.0000048,11.0012200,0.9848027
0.992,0.0000045,11.0217100,0.9864732
0.993,0.0000043,11.0422100,0.9881501
0.994,0.0000042,11.0627300,0.9898345
0.995,0.0000040,11.0832700,0.9915189
0.996,0.0000038,11.1038300,0.9932033
0.997,0.0000036,11.1244000,0.9948985
0.998,0.0000035,11.1450000,0.9965985
0.999,0.0000033,11.1656100,0.9982986
1.000,0.0000031,11.1862500,1.0000000
